"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
17851050930546899,17841476283103388,setup.english,"SetUp - English School","A gente sabe que às vezes o investimento parece distante.
A Black November da Set Up chegou pra mudar isso.
R$200 por mês pra começar 2026 falando inglês. Chama a gente na DM e faça parte!",0,"11/12/2025 12:58",https://www.instagram.com/p/DQ-H0WhEuQE/,"Carrossel do Instagram",,Total,1744,380,33,3,1,4,1
18072698372244352,17841476283103388,setup.english,"SetUp - English School","Durante a Black November, as aulas em grupo da Set Up saem por apenas R$200/mês!! E o melhor:
o primeiro pagamento é só em janeiro.

As turmas começam em janeiro de 2026, com até 6 alunos por grupo, no formato que mais funciona pra quem quer falar inglês de verdade.

Então, nada de deixar pra depois mais uma vez, hein? 😉

👉 Promoção válida até 30 de novembro.",33,"11/10/2025 07:17",https://www.instagram.com/reel/DQ4XOYaDhHu/,"Reel do Instagram",,Total,5013,6976,104,36,13,51,1
18051051563669239,17841476283103388,setup.english,"SetUp - English School","“Como eu me beneficio das aulas em grupo?” 💭 
Demos a nossa visão neste reels e gostaríamos de saber o que vocês pensam também! Compartilha com a gente! 

Ahh, não esquece que estamos nos nossos últimos dias para a matrícula de aulas em grupo com condições especiais da Black November! 

Chama a gente na DM e bora tirar o inglês do papel em 2026! 🚀",54,"11/27/2025 14:36",https://www.instagram.com/reel/DRk6Y-lErOD/,"Reel do Instagram",,Total,691,435,28,2,1,2,0
18540396136039607,17841476283103388,setup.english,"SetUp - English School","Por trás da Set Up tem gente que acredita que o inglês muda vidas. 🌍✨

A gente vive o que ensina e cada um traz sua história, experiências e jeitos diferentes de inspirar nossos alunos todos os dias. 

Somos pessoas apaixonadas por ver você alcançar o seu próximo passo. 🚀

👉 Conheça quem está por trás da Set Up.",0,"11/25/2025 13:46",https://www.instagram.com/p/DRfrrTqkmx_/,"Carrossel do Instagram",,Total,5648,1275,137,29,4,15,4
18429519040109899,17841476283103388,setup.english,"SetUp - English School","Nossas aulas em grupo foram feitas pra quem quer destravar de vez.
Sério: no primeiro dia você já tá falando.

🔥 Turmas pequenas, 1h30 por semana, material incluso e zero taxa de matrícula.
Entrou, estudou, praticou. Simples assim.

Se você quer começar 2026 mandando bem no inglês…
👉 Chama na DM ou acessa o link da bio.

As vagas são poucas. Não fica de fora!!",0,"11/21/2025 15:42",https://www.instagram.com/p/DRVlyBWjsD4/,"Carrossel do Instagram",,Total,1601,515,18,3,0,1,0
