"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
18027701369742389,17841476283103388,setup.english,"SetUp - English School","Na Set Up, cada aluno vive uma jornada feita sob medida!
Aprender inglês vai muito além de decorar regras.

Com aulas dinâmicas, temas reais e feedbacks constantes pra você se sentir confiante em qualquer situação.

De reuniões de trabalho a viagens pelo mundo, o inglês que você aprende aqui te acompanha em tudo. ✈️💼",0,"10/08/2025 14:04",https://www.instagram.com/p/DPkAtGukl1H/,"Carrossel do Instagram",,Total,5386,1892,88,13,10,12,11
18039818369470750,17841476283103388,setup.english,"SetUp - English School","Hoje começa um novo capítulo da nossa história! 
Estamos muito felizes em abrir oficialmente a Set Up para o mundo. Um espaço criado para transformar o inglês em parte real da vida de cada aluno.

Assim como estamos iniciando essa jornada, queremos guiar você em seus próprios novos capítulos: seja conquistar oportunidades de carreira, viver experiências únicas em viagens ou simplesmente se sentir confiante para se conectar com o mundo. 

Esse é só o começo, e queremos você com a gente nessa caminhada.",0,"10/02/2025 14:12",https://www.instagram.com/p/DPUk4msEswu/,"Carrossel do Instagram",,Total,19075,6696,285,161,121,142,8
18373313296156148,17841476283103388,setup.english,"SetUp - English School","Tem gente que foge de filme de terror…
e tem gente que foge de falar inglês. 

Mas aqui, a gente promete: nada de sustos.
Só aulas leves, reais e do seu jeito, pra você finalmente perder o medo e começar a falar com confiança.

Set Up é inglês sem medo!",0,"10/31/2025 08:31",https://www.instagram.com/p/DQeo6hnDmTE/,"Carrossel do Instagram",,Total,2464,471,38,4,2,0,5
17863122855508023,17841476283103388,setup.english,"SetUp - English School","Aqui na Set up, trabalhamos pra isso! Nossa aluna mandou esse feedback pra gente e a @g.abidossantos quase chorou de orgulho <3

Nossas aulas são sobre isso, leveza e progresso real que nos enchem de orgulho!",0,"10/27/2025 14:51",https://www.instagram.com/p/DQVBJUpEpiE/,"Imagem do Instagram",,Total,2004,395,38,21,1,18,1
18081176339004307,17841476283103388,setup.english,"SetUp - English School","A real é que o tempo não espera. Cada dia que você adia, alguém tá lá fora conquistando o que você ainda tá só imaginando. 

O inglês não é o fim, é o começo da sua virada e da sua nova fase. Não deixa pra depois o que pode mudar agora.",0,"10/24/2025 12:14",https://www.instagram.com/p/DQNA0o4kr43/,"Imagem do Instagram",,Total,2621,681,30,3,1,7,0
18174010207363614,17841476283103388,setup.english,"SetUp - English School","Já parou pra pensar por que o nome Set Up? 

Porque a gente acredita que aprender inglês é só o começo.

É o impulso pra conquistar o mundo e abrir portas que antes pareciam distantes. Aqui o inglês te prepara pra vida e te leva pra onde você quiser.

Seu inglês começa aqui!",0,"10/21/2025 16:45",https://www.instagram.com/p/DQFxdWHjtLY/,"Carrossel do Instagram",,Total,4553,1454,48,12,1,2,1
18079025986896915,17841476283103388,setup.english,"SetUp - English School","Afinal, o que são aulas personalizadas?
Na Set Up, a aula gira em torno de você.
Seus objetivos, sua forma de aprender.
Nada de planos prontos.
Aqui, o foco é real e 100% adaptado à sua rotina.",0,"10/17/2025 15:52",https://www.instagram.com/p/DP7YMk6jggH/,"Carrossel do Instagram",,Total,3125,476,65,4,0,25,2
