"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
17844379497632502,17841476283103388,setup.english,"SetUp - English School","IT’S TIIIIIME! 
Uma das melhores épocas do ano chegou: CHRISTMAS!🎅 🎄 

Aqui estão algumas dicas que preparamos para você aproveitar o mês de dezembro e continuar avançando rumo à sua tão sonhada fluência!",0,"12/11/2025 14:07",https://www.instagram.com/p/DSI61_XEiL7/,"Carrossel do Instagram",,Total,884,299,19,1,0,2,1
17964956603868062,17841476283103388,setup.english,"SetUp - English School","O inglês não pertence a um país, pertence ao mundo! 
Quando você aprende, o mundo inteiro se abre para você.

Na Set Up, a gente ensina o inglês que te conecta e te posiciona em qualquer lugar.

É o que sempre falamos: seu inglês começa aqui e te leva para qualquer lugar.",0,"12/03/2025 05:06",https://www.instagram.com/p/DRzWjxxDktw/,"Carrossel do Instagram",,Total,1268,493,34,2,0,0,1
17906847642319050,17841476283103388,setup.english,"SetUp - English School","Compartilhando como o Natal pode ser diferente ao redor do mundo 🌍 

Em países onde é inverno❄️, os Christmas Markets fazem parte da tradição. Você se imagina em um desses?",0,"12/24/2025 14:36",https://www.instagram.com/p/DSqcZ8-Es84/,"Carrossel do Instagram",,Total,512,179,25,0,0,4,0
18005394146676222,17841476283103388,setup.english,"SetUp - English School","Academia não funciona em sessão única.
Dormir bem uma noite não apaga semanas puxadas.

A gente já aceita isso pra quase tudo na vida.
Só esquece quando o assunto é inglês.

Aprender também pede cuidado contínuo.
E um método que caminhe com a sua rotina 😉",0,"12/22/2025 14:57",https://www.instagram.com/p/DSlVR5PEhKY/,"Carrossel do Instagram",,Total,485,162,19,0,0,2,0
17883936960308891,17841476283103388,setup.english,"SetUp - English School","Quem aí é do time do ano que vem? 💭

Nossas últimas vagas para as aulas em grupo começando em janeiro/2026 estão bem próximas de acabar! 

Chama a gente e bora tirar o inglês do papel?",0,"12/16/2025 07:23",https://www.instagram.com/p/DSVEijGDg-7/,"Imagem do Instagram",,Total,871,386,25,3,0,0,0
