"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
18348337096236308,17841476283103388,setup.english,"SetUp - English School","O Alex é executivo de marketing em uma multinacional, aluno da Set Up e tinha um desafio bem específico: apresentar para o board da empresa em inglês.

Trabalhamos juntos as apresentações, linha por linha, com foco em como comunicar com clareza e confiança no momento que importa. O retorno veio ainda no mesmo dia, pelo WhatsApp, com a primeira apresentação já aprovada e ele se sentindo mais tranquilo para a segunda rodada do dia seguinte.

É isso que a gente faz aqui. Não importa se você está começando do zero ou se o inglês já é parte da sua rotina mas você quer ir mais longe. A Set Up encontra você onde você está.

Se tem algo chegando aí que você quer chegar preparado, manda uma mensagem pra gente.

Let's go.",0,"03/03/2026 06:30",https://www.instagram.com/p/DVbPpeqiFvM/,"Carrossel do Instagram",,Total,382,130,16,0,0,1,0
18003607007910523,17841476283103388,setup.english,"SetUp - English School","Tem gente que estudou anos, chegou num nível praticamente avançado e mesmo assim trava na hora de falar, e isso quase sempre tem uma origem numa experiência que ficou guardada e virou um filtro entre o que a pessoa sabe e o que ela consegue expressar.

O inglês continua lá, o que mudou foi a confiança de acessá-lo. É por isso que o ambiente onde você pratica importa tanto, porque num espaço onde o erro faz parte do processo e o feedback é parte da aula, o idioma começa a fluir de um jeito diferente.

Se você se reconheceu em algum desses cards, chama no direct e a gente conversa.",0,"03/31/2026 06:01",https://www.instagram.com/p/DWjLtPagUCF/,"Carrossel do Instagram",,Total,93,33,3,0,0,0,0
18045607154734399,17841476283103388,setup.english,"SetUp - English School","A ideia de um grupo de conversação em inglês as vezes peca por 1 dos 2 extremos: são livres demais pra gerar progresso ou estruturados demais pra gerar conversa. 

O Conversation Club da Set Up foi pensado pra funcionar no meio disso, com turmas de até 6 pessoas, temas atuais escolhidos a dedo, para gerar uma conversa interessante, e um professor que acompanha a sua fala de perto, devolvendo feedback pertinente dentro do contexto de cada discussão.

O programa é pra quem está no nível Intermediário ou Avançado e sente que falar em inglês parou de crescer, mesmo com todo o repertório que já tem. 6 meses de encontros semanais com o mesmo grupo criam o tipo de ambiente em que a língua finalmente sai do lugar.

Quer entrar no próximo grupo? Manda uma DM para gente!",0,"03/27/2026 14:18",https://www.instagram.com/p/DWZxd6yk7QG/,"Carrossel do Instagram",,Total,2347,679,44,7,0,5,0
18131379988536200,17841476283103388,setup.english,"SetUp - English School","Você entende tudo, acompanha séries sem legenda, lê artigos em inglês sem dificuldade, e mesmo assim trava quando alguém te pede pra falar. Isso tem um nome, tem uma causa e, mais importante, tem solução.

Arrasta o carrossel pra entender o que está acontecendo com o seu inglês, e o que a gente montou pra mudar isso.",0,"03/24/2026 07:45",https://www.instagram.com/p/DWRWDQ9DLHm/,"Carrossel do Instagram",,Total,827,260,14,2,0,1,0
18105304933693471,17841476283103388,setup.english,"SetUp - English School","Você entende inglês, mas trava na hora de falar?

Então você precisa de prática real — e é exatamente isso que você vai ter no nosso Conversation Club.

A partir do dia 15 de abril, encontros focados em destravar sua fala, ganhar confiança e se comunicar de verdade.

Sem aula engessada. Sem pressão. Só prática guiada + feedback pra você evoluir rápido.

💰 Investimento: R$190

Se você quer parar de estudar inglês e começar a usar de verdade, essa é a sua chance.",57,"03/23/2026 11:21",https://www.instagram.com/reel/DWPJ0vxOeg9/,"Reel do Instagram",,Total,1290,710,40,5,0,4,2
17912296725165518,17841476283103388,setup.english,"SetUp - English School","O Dia Internacional contra a Discriminação Racial existe porque o racismo ainda precisa ser nomeado, combatido e levado a sério. Por governos, por instituições e por cada espaço que recebe pessoas.

A Set Up é um desses espaços e a gente não finge que isso não tem peso.

Sabemos que nem todo mundo chega ao inglês pelo mesmo caminho. Que barreiras de acesso à educação têm cor, têm endereço, têm história. Que certos ambientes fizeram muita gente se sentir pequena antes mesmo de abrir a boca. Não ignoramos isso.

Aqui, cada aluno é recebido com respeito ao seu percurso e com o compromisso de que o inglês vai funcionar para a vida que essa pessoa tem, não para uma versão idealizada dela.

Esse dia nos lembra do quanto ainda há para mudar. A nossa parte é garantir que, dentro do nosso espaço, a mudança já esteja acontecendo.",0,"03/21/2026 07:30",https://www.instagram.com/p/DWJl8ukjnrL/,"Imagem do Instagram",,Total,992,619,29,5,0,5,0
18114200560647940,17841476283103388,setup.english,"SetUp - English School","Atenção ao pedir o jantar para não acabar recebendo um sabonete.

SOUP (/suːp/) significa SOPA e exige um som de ""u"" longo. 

SOAP (/soʊp/) significa SABONETE e pede o som de ditongo ""ou"", como em ""low"". 

Trocar esses fonemas faz você dizer que jantou sabonete ou lavou as mãos com sopa hahahaha (em algumas culturas eles até te dão uma aguinha quente para limpar os dedos, mas também não se chama SOPA)

Nossas aulas são especiais porque vivemos o inglês de verdade, tanto em reuniões quanto também vivências reais em viagens pelo mundo! Essa bagagem é o que ajuda você a focar no que realmente importa e ganhar segurança para evitar travamentos no idioma em coisas simples. Afinal, practice makes progress.

Você já confundiu essas duas palavras?",0,"03/12/2026 07:45",https://www.instagram.com/p/DVycglKE9GD/,"Imagem do Instagram",,Total,207,103,2,0,0,0,0
17879080743395850,17841476283103388,setup.english,"SetUp - English School","Você lê em inglês, entende séries sem legenda, escuta músicas e acompanha boa parte, mas quando precisa falar… trava?! 

Isso acontece quando você pratica mais entender do que se comunicar.

🔸 Conversation Club da Set Up

- Turmas para alunos de nível intermediário e avançado que querem ganhar fluidez de verdade.
- Conversas guiadas com temas atuais e feedbacks ao vivo de vocabulário, gramática e pronúncia.

🔸Turmas: Até 6 pessoas
🔸Duração: 1h por aula

Intermediário - quartas às 19h com @g.abidossantos 
Avançado - quartas às 19h com @mmurilosilva_ 
Possíveis turmas sábado de manhã.

🔸Início: 15 de abril a setembro/2026.

Let’s go?
Chama no direct para mais informações!",0,"03/10/2026 07:45",https://www.instagram.com/p/DVtS7Q6E6W1/,"Carrossel do Instagram",,Total,4910,1225,81,87,7,27,2
17867061159592670,17841476283103388,setup.english,"SetUp - English School","Hoje a gente celebra as mulheres que usaram o inglês como passagem para o mundo. Deslize para conhecer a história de três delas!

Anitta, Maju Coutinho e Djamila Ribeiro chegaram em lugares que o Brasil mal sabia que existiam. Cada uma estudou, errou, insistiu e foi.

Feliz Dia das Mulheres para todas que estão no seu próprio caminho agora. Happy Women's Day!",0,"03/08/2026 06:56",https://www.instagram.com/p/DVoDyGZFmXg/,"Carrossel do Instagram",,Total,1751,786,23,8,1,11,0
