"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
17932196628034871,17841476283103388,setup.english,"SetUp - English School","Comer areia não faz parte dos planos de ninguém e a diferença é minúscula na escrita, mas também gigante na fluência!

Desert é o deserto. Seco e com ênfase no começo: DÉ-zert. 

Dessert é a sobremesa. Doce e com ênfase no final: di-ZURT.

O macete é visual e um pouco guloso haha: a sobremesa é tão boa que você quer repetir, por isso ela tem dois S. O deserto é só areia, então um S já basta.

Já passou vergonha pedindo um ""Sahara"" depois do jantar?",0,"02/05/2026 06:45",https://www.instagram.com/p/DUYUsF5AT21/,"Imagem do Instagram",,Total,840,346,19,1,0,5,2
18149084446456477,17841476283103388,setup.english,"SetUp - English School","Chegou o Expression of the Month, versão fevereiro, bora colocar essas quatro em prática e deixar o inglês mais vivo no dia a dia?

CUT TO THE CHASE é pra pedir objetividade e ir direto ao ponto, sem enrolar no caminho.

MAKE THE MOST OF IT é pra quando dá pra tirar proveito do que você tem agora, mesmo que não seja o cenário perfeito.

ONCE IN A BLUE MOON é pra falar de algo que acontece raramente, quase nunca.

FIRST AND FOREMOST é pra abrir uma frase deixando a prioridade bem definida, tipo “antes de qualquer coisa”.

Expression of the Month é um compilado de frases explicadas por cada um de nossos professores durante o mês. Toda sexta-feira tem frase nova nos stories: interage com a gente por lá e tire suas dúvidas!

Qual foi a melhor expressão do mês pra você?",0,"02/27/2026 14:20",https://www.instagram.com/p/DVRyUVwiEgQ/,"Carrossel do Instagram",,Total,556,288,17,1,0,2,0
18081078059193805,17841476283103388,setup.english,"SetUp - English School","Três palavras. Uma letra de diferença. Três significados completamente diferentes.

🐻 BEAR (bér) = urso
🧔 BEARD (bírd) = barba
🍺 BEER (bír) = cerveja

São aquelas palavras que a gente confunde fácil, especialmente no começo. E o problema é que todas aparecem no dia a dia.

Imagina a cena: você está no pub querendo pedir uma cerveja e acaba falando de urso. Ou pior, comentando sobre a barba de alguém quando queria falar da bebida!!!! 

A pronúncia muda tudo. Aquele ""ea"" pode ser /ɛ/, /ɪ/ ou /ɪə/ dependendo da palavra - e é isso que faz toda a diferença entre pedir uma beer e falar de um bear.

DICA: Preste atenção no som do meio de cada palavra. Beer e beard têm aquele ""i"" prolongado, mas beard adiciona um ""d"" no final. Já bear tem um som mais aberto, parecido com ""é"".

Salva esse post pra revisar sempre que bater a dúvida!",0,"02/20/2026 05:00",https://www.instagram.com/p/DU-wnHzDRM5/,"Imagem do Instagram",,Total,186,85,9,0,0,0,0
18049542653495650,17841476283103388,setup.english,"SetUp - English School","Apps de relacionamento em inglês exigem mais do que só saber flertar. Você precisa conhecer o vocabulário de sobrevivência. Ghosting, love bombing, benching... esses termos aparecem direto nas conversas e saber identificá-los te poupa tempo e energia. Clear communication continua sendo a melhor green flag de todas. Qual dessas você já viveu?",0,"02/18/2026 05:00",https://www.instagram.com/p/DU5nAyyAXJy/,"Carrossel do Instagram",,Total,473,228,19,2,0,1,1
17965417067881404,17841476283103388,setup.english,"SetUp - English School","Carnaval chegando e gringo chegando junto! 

Você tá pronto pra trocar ideia em inglês no bloco? Essas expressões vão te ajudar a quebrar o gelo e fazer aquela conexão.

Salva e pratica antes de cair na folia!",0,"02/17/2026 08:25",https://www.instagram.com/p/DU3Ztrplh0x/,"Carrossel do Instagram",,Total,592,262,27,1,0,1,1
18127049260555075,17841476283103388,setup.english,"SetUp - English School","Quando eu morei nos Estados Unidos, eu entendi que Valentine’s Day não é só sobre casal, é uma data para celebrar o amor como ele aparece na vida real, no romance, na amizade e na família.

O que mais me marcou foi ver isso na escola: as crianças fazem seus próprios cartões, escolhem para quem vão entregar, escrevem uma mensagem curta e levam junto um docinho, e eu participei desse preparo com elas.

No fim, tem até uma lição de inglês aí: não é sobre soar perfeito, é sobre comunicar intenção, porque um “Happy Valentine’s Day” com uma frase simples já aproxima as pessoas.

Se você fosse adotar um pedaço dessa cultura aqui, o que faria, escrever um cartão para um amigo, para alguém da família, ou para alguém que você admira?",0,"02/14/2026 07:00",https://www.instagram.com/p/DUvhlCtAWDr/,"Imagem do Instagram",,Total,1160,636,30,4,0,0,0
18422255326137284,17841476283103388,setup.english,"SetUp - English School","Bad Bunny no Super Bowl 2025! 🏈

Enquanto ele arrasava no Half Time Show domingo, vale lembrar dessa frase ICÔNICA. 

Bad Bunny é porto-riquenho, canta em espanhol, e comandou um dos maiores palcos do mundo. Na real a America é TODO O CONTINENTE - português, espanhol, francês, e centenas de línguas indígenas!

English tip: Aprender inglês não significa esquecer quem você é, mas sim adicionar mais uma ferramenta para se conectar com o mundo - do seu jeito e com seu sotaque!",0,"02/11/2026 06:45",https://www.instagram.com/p/DUnxc8mDAkO/,"Imagem do Instagram",,Total,543,223,43,0,0,2,1
18565512451042311,17841476283103388,setup.english,"SetUp - English School","Chegou o Expression of the Month, versão Janeiro, bora colocar essas três em prática e deixar o inglês mais vivo no dia a dia?

GET BACK ON TRACK é pra quando você saiu do ritmo e quer voltar pro plano, tipo retomar a rotina de estudos depois de uma semana caótica.

WHAT’S DONE IS DONE é o lembrete de seguir em frente quando algo já aconteceu e não dá pra mudar, então o foco vira aprender e continuar.

PET PEEVE é aquela coisinha específica que te irrita mais do que deveria, tipo gente que mastiga alto ou atraso sem avisar.

Qual foi a melhor expressão do mês pra você?",0,"02/10/2026 14:29",https://www.instagram.com/p/DUmB1pAknrd/,"Carrossel do Instagram",,Total,604,271,21,2,1,3,1
